"tropeid","tropename"
"tr03549","Everytown, America"
"tr03550","Fawlty Towers Plot"
"tr03551","From Bad to Worse"
"tr03552","Honest Corporate Executive"
"tr03553","Humble Pie"
"tr03554","Ignored Epiphany"
"tr03555","Love Cannot Overcome"
"tr03556","Morality Pet"
"tr03557","Mr. Vice Guy"
"tr03558","Not Me This Time"
"tr03559","Nothing Personal"
"tr03560","Perpetual Frowner"
"tr03561","ReasonYouSuckSpeech"
"tr03562","Ship Tease"
"tr03563","Snowball Lie"
"tr03564","TheNewGuy"
"tr03565","Cavalry Officer"
"tr03566","Doorstopper"
"tr03567","SpearCounterpart"
"tr03568","Aesop Amnesia"
"tr03569","Alternate Continuity"
"tr03570","Arc Words"
"tr03571","Attractive Zombie"
"tr03572","Back for the Dead"
"tr03573","Beehive Hairdo"
"tr03574","Big Red Button"
"tr03575","Breaking the Bonds"
"tr03576","Cassandra Truth"
"tr03577","Cast the Expert"
"tr03578","Cut Lex Luthor a Check"
"tr03579","Cute Monster Girl"
"tr03580","Cycle of Revenge"
"tr03581","Denser and Wackier"
"tr03582","Evil Mentor"
"tr03583","Forced into Evil"
"tr03584","Forgotten Framing Device"
"tr03585","Fridge Brilliance"
"tr03586","He Went That Way"
"tr03587","Hulk Speak"
"tr03588","Hysterical Woman"
"tr03589","I Have Your Wife"
"tr03590","I Warned You"
"tr03591","Immune to Bullets"
"tr03592","Inventional Wisdom"
"tr03593","It's All My Fault"
"tr03594","Joker Immunity"
"tr03595","Make Sure He's Dead"
"tr03596","Monster Mash"
"tr03597","NeverLearnedToTalk"
"tr03598","Never Trust a Trailer"
"tr03599","NoOneCouldSurviveThat"
"tr03600","Our Homunculi Are Different"
"tr03601","Our Mermaids Are Different"
"tr03602","People Jars"
"tr03603","PostDefeatExplosionChain"
"tr03604","Previously On"
"tr03605","Reformed Bully"
"tr03606","ScienceIsGood"
"tr03607","Secret Underground Passage"
"tr03608","Self-Destruct Mechanism"
"tr03609","Shadow Archetype"
"tr03610","Single Tear"
"tr03611","SpermAsPeople"
"tr03612","Sudden Sequel Death Syndrome"
"tr03613","SuddenlySpeaking"
"tr03614","TheManBehindTheMan"
"tr03615","The Other Darrin"
"tr03616","The The Title Confusion"
"tr03617","The X of Y"
"tr03618","Tortured Monster"
"tr03619","Villain's Dying Grace"
"tr03620","Word of God"
"tr03621","Zerg Rush"
"tr03622","Annual Title"
"tr03623","Line-of-Sight Name"
"tr03624","Masquerading As the Unseen"
"tr03625","Next Sunday A.D."
"tr03626","Suspiciously Specific Denial"
"tr03627","The Bore"
"tr03628","What the Hell Is That Accent?"
"tr03629","Grand Staircase Entrance"
"tr03630","Action Hero"
"tr03631","Ambadassador"
"tr03632","Boarding Party"
"tr03633","Chair Reveal"
"tr03634","Character Exaggeration"
"tr03635","Decadent Court"
"tr03636","Epic Ship-on-Ship Action"
"tr03637","Fanfare"
"tr03638","Hanging Judge"
"tr03639","Heroic Team Revolt"
"tr03640","JollyRoger"
"tr03641","Left the Background Music On"
"tr03642","Made a Slave"
"tr03643","No-Sell"
"tr03644","Offstage Villainy"
"tr03645","Oireland"
"tr03646","Pirate"
"tr03647","Pirate Booty"
"tr03648","Politically Correct History"
"tr03649","Property of Love"
"tr03650","Slave Brand"
"tr03651","Swashbuckler"
"tr03652","Sword Fight"
"tr03653","The Captain"
"tr03654","The Cavalier Years"
"tr03655","The Heavy"
"tr03656","The Women Are Safe with Us"
"tr03657","Wheel of Pain"
"tr03658","Wooden Ships and Iron Men"
"tr03659","Consolation Award"
"tr03660","I'll Tell You When I've Had Enough!"
"tr03661","Never My Fault"
"tr03662","Smoky Gentlemen's Club"
"tr03663","The Jinx"
"tr03664","Adults Are Useless"
"tr03665","Affectionate Gesture to the Head"
"tr03666","All Is Well That Ends Well"
"tr03667","Ambiguously Evil"
"tr03668","Anthropomorphic Animal Adaptation"
"tr03669","Antiquated Linguistics"
"tr03670","Bait the Dog"
"tr03671","Boarding School of Horrors"
"tr03672","Breaking Bad News Gently"
"tr03673","Child Hater"
"tr03674","Childhood Friend Romance"
"tr03675","Deceptive Disciple"
"tr03676","Destructive Romance"
"tr03677","Disneyfication"
"tr03678","Disproportionate Restitution"
"tr03679","Does He Have a Brother?"
"tr03680","Doting Parent"
"tr03681","Either/Or Title"
"tr03682","Festering Fungus"
"tr03683","First Love"
"tr03684","Good Angel, Bad Angel"
"tr03685","Good Samaritan"
"tr03686","Good Scars, Evil Scars"
"tr03687","Guess Who I'm Marrying?"
"tr03688","Hand Rubbing"
"tr03689","Hate at First Sight"
"tr03690","HeroWorshipper"
"tr03691","HouseholdNames"
"tr03692","Just Between You and Me"
"tr03693","Kick Them While They Are Down"
"tr03694","LawOfInverseFertility"
"tr03695","Like Parent, Like Spouse"
"tr03696","Manchild"
"tr03697","Memetic Mutation"
"tr03698","Mind Rape"
"tr03699","Mr. Muffykins"
"tr03700","Napoleon Delusion"
"tr03701","Neologism"
"tr03702","NoMoreHoldingBackSpeech"
"tr03703","One of the Kids"
"tr03704","Orphan's Ordeal"
"tr03705","Parental Substitute"
"tr03706","Pinball Protagonist"
"tr03707","Purity Sue"
"tr03708","Red Eyes, Take Warning"
"tr03709","Scarpia Ultimatum"
"tr03710","Slimeball"
"tr03711","Slut-Shaming"
"tr03712","Smarter Than You Look"
"tr03713","Society Is to Blame"
"tr03714","Supporting Protagonist"
"tr03715","Tender Tears"
"tr03716","TheAllegedBoss"
"tr03717","The Nicknamer"
"tr03718","The Storyteller"
"tr03719","The Thing That Would Not Leave"
"tr03720","Unable to Support a Wife"
"tr03721","Villain by Default"
"tr03722","WhereAreTheyNowEpilogue"
"tr03723","WickedStepfather"
"tr03724","Ye Olde Butcherede Englishe"
"tr03725","You ALL Share My Story"
"tr03726","You Know What You Did"
"tr03727","You Should Have Died Instead"
"tr03728","The Scrooge"
"tr03729","Can't Hold His Liquor"
"tr03730","Female Gaze"
"tr03731","FromRoommatesToRomance"
"tr03732","Heads, Tails, Edge"
"tr03733","Longing Look"
"tr03734","Stupid Sexy Friend"
"tr03735","Tall, Dark, and Handsome"
"tr03736","The Operators Must Be Crazy"
"tr03737","Beam Me Up, Scotty!"
"tr03738","Facial Dialogue"
"tr03739","Naïve Newcomer"
"tr03740","Right-Hand Cat"
"tr03741","Shut Up, Kirk!"
"tr03742","Snake Charmer"
"tr03743","We Have Ways of Making You Talk"
"tr03744","White Man's Burden"
"tr03745","Agent Mulder"
"tr03746","Identical Stranger"
"tr03747","Lesbian Vampire"
"tr03748","Ominous Pipe Organ"
"tr03749","Satellite Character"
"tr03750","The Voiceless"
"tr03751","Twist Ending"
"tr03752","Burning the Ships"
"tr03753","DisabledInTheAdaptation"
"tr03754","Harmony Versus Discipline"
"tr03755","Multiple-Choice Past"
"tr03756","Press-Ganged"
"tr03757","The Mutiny"
"tr03758","Beautiful Slave Girl"
"tr03759","Devil in Plain Sight"
"tr03760","Dream Melody"
"tr03761","Dressing as the Enemy"
"tr03762","I Just Want to Be Free"
"tr03763","Incredibly Long Note"
"tr03764","Indentured Servitude"
"tr03765","Pirates"
"tr03766","Runaway Fiancé"
"tr03767","Slave Liberation"
"tr03768","Capitalism Is Bad"
"tr03769","Commune"
"tr03770","Sequel"
"tr03771","Absurdly Long Limousine"
"tr03772","Art Shift"
"tr03773","Binge Montage"
"tr03774","Black Bead Eyes"
"tr03775","Elevator Buttons Mash"
"tr03776","GrandDame"
"tr03777","Mouth Cam"
"tr03778","Simpleton Voice"
"tr03779","Wingding Eyes"
"tr03780","Covered Up"
"tr03781","Fashion Show"
"tr03782","An Immigrant's Tale"
"tr03783","Twilight of the Old West"
"tr03784","Abdicate the Throne"
"tr03785","Blackmail Backfire"
"tr03786","Genre Mashup"
"tr03787","Horror Films"
"tr03788","Kill and Replace"
"tr03789","OffLimitsRoom"
"tr03790","One Twin Must Die"
"tr03791","Predecessor Villain"
"tr03792","Prophecy Twist"
"tr03793","Revealing Reflection"
"tr03794","RuritanianRomance"
"tr03795","Speak Now or Forever Hold Your Peace"
"tr03796","The Place"
"tr03797","Twin Switch"
"tr03798","Crocodile Tears"
"tr03799","Going by the Matchbook"
"tr03800","I Have This Friend..."
"tr03801","Inelegant Blubbering"
"tr03802","Necro Cam"
"tr03803","Spousal Privilege"
"tr03804","The Case Of"
"tr03805","Fake Irish"
"tr03806","Price on Their Head"
"tr03807","The Dying Walk"
"tr03808","This Is Unforgivable!"
"tr03809","Censorship by Spelling"
"tr03810","Just a Kid"
"tr03811","SensationalStaircaseSequence"
"tr03812","Stay in the Kitchen"
"tr03813","Still Fighting the Civil War"
"tr03814","The70s"
"tr03815","The Wild West"
"tr03816","Title Card"
"tr03817","Been There, Shaped History"
"tr03818","Dumbass Has a Point"
"tr03819","Southern Belle"
"tr03820","What Could Have Been"
"tr03821","Artistic Title"
"tr03822","Assassination Attempt"
"tr03823","BecomingTheMask"
"tr03824","Cacophony Cover-Up"
"tr03825","Cantata"
"tr03826","Cloak & Dagger"
"tr03827","Concert Climax"
"tr03828","Depraved Dentist"
"tr03829","FireHoseCannon"
"tr03830","Foreign Remake"
"tr03831","Genki Girl"
"tr03832","Germans Love David Hasselhoff"
"tr03833","Gunslinger"
"tr03834","Hand Gagging"
"tr03835","Hollywood Silencer"
"tr03836","Hypno Pendulum"
"tr03837","I Just Shot Marvin in the Face"
"tr03838","Long Song, Short Scene"
"tr03839","Mistaken for Spies"
"tr03840","Monumental Battle"
"tr03841","Musical Trigger"
"tr03842","Mystery Cult"
"tr03843","Not My Lucky Day"
"tr03844","Plot-Based Voice Cancellation"
"tr03845","Product Displacement"
"tr03846","Professional Killer"
"tr03847","Properly Paranoid"
"tr03848","Sequel Escalation"
"tr03849","She's a Man in Japan"
"tr03850","Taxidermy Is Creepy"
"tr03851","WouldHurtAChild"
"tr03852","A Glass in the Hand"
"tr03853","Beardness Protection Program"
"tr03854","Brains and Brawn"
"tr03855","CreepyRavens"
"tr03856","Pendulum of Death"
"tr03857","Torture Cellar"
"tr03858","Two-Faced"
"tr03859","Working for a Body Upgrade"
"tr03860","Always Camp"
"tr03861","Atonement Detective"
"tr03862","Badass Longcoat"
"tr03863","Burn Baby Burn"
"tr03864","Knight Templar"
"tr03865","Noble Fugitive"
"tr03866","Pseudo Crisis"
"tr03867","Show, Don't Tell"
"tr03868","You Don't Want to Catch This"
"tr03869","Acting for Two"
"tr03870","Criminal Doppelgänger"
"tr03871","Extreme Doormat"
"tr03872","Purple Prose"
"tr03873","Wealthy Ever After"
"tr03874","Beef Bandage"
"tr03875","Camp Straight"
"tr03876","Convenient Slow Dance"
"tr03877","Deconfirmed Bachelor"
"tr03878","EloquentInMyNativeTongue"
"tr03879","Everything Has Rhythm"
"tr03880","Fear of Thunder"
"tr03881","ForcedKiss"
"tr03882","Forgotten First Meeting"
"tr03883","Hopeless Suitor"
"tr03884","I Always Wanted to Say That"
"tr03885","Imaginary Love Triangle"
"tr03886","Language Fluency Denial"
"tr03887","Rhetorical Question Blunder"
"tr03888","Romantic Runner-Up"
"tr03889","Telegraph Gag STOP"
"tr03890","The Cover Changes the Meaning"
"tr03891","Unwanted Rescue"
"tr03892","Wakeup Makeup"
"tr03893","Yaoi Fangirl"
"tr03894","A Party, Also Known as an Orgy"
"tr03895","Absent-Minded Professor"
"tr03896","Bed Trick"
"tr03897","BravingTheBlizzard"
"tr03898","Country Cousin"
"tr03899","Disco Dan"
"tr03900","Inevitable Waterfall"
"tr03901","Psychic Link"
"tr03902","Real Fake Wedding"
"tr03903","ShamWedding"
"tr03904","Tear Jerker"
"tr03905","The City vs. the Country"
"tr03906","The Professor"
"tr03907","Actual Pacifist"
"tr03908","Anaphora"
"tr03909","...And That Little Girl Was Me"
"tr03910","Athens and Sparta"
"tr03911","Audience Surrogate"
"tr03912","Bang, Bang, BANG"
"tr03913","Big Bad Slippage"
"tr03914","Bullet Holes and Revelations"
"tr03915","Buy Them Off"
"tr03916","Companion Cube"
"tr03917","Death by Irony"
"tr03918","Designated Girl Fight"
"tr03919","Droit du Seigneur"
"tr03920","Drunken Master"
"tr03921","Dying Alone"
"tr03922","Elective Broken Language"
"tr03923","EveryoneCallsHimBarkeep"
"tr03924","FamilyExtermination"
"tr03925","Grew a Spine"
"tr03926","He Who Fights Monsters"
"tr03927","Hell"
"tr03928","Improbable Hairstyle"
"tr03929","Judicial Wig"
"tr03930","Knight in Shining Armor"
"tr03931","Leaning on the Furniture"
"tr03932","Living Emotional Crutch"
"tr03933","More Expendable Than You"
"tr03934","Nay-Theist"
"tr03935","Ninja Maid"
"tr03936","Noble Male, Roguish Male"
"tr03937","Nom de Mom"
"tr03938","Psycho Supporter"
"tr03939","Rebel Relaxation"
"tr03940","Reign of Terror"
"tr03941","Shed the Family Name"
"tr03942","Silk Hiding Steel"
"tr03943","Stay with Me Until I Die"
"tr03944","Steel Ear Drums"
"tr03945","Strong Family Resemblance"
"tr03946","SurvivorsGuilt"
"tr03947","The Extremist Was Right"
"tr03948","The Hero"
"tr03949","The Idealist"
"tr03950","ThePowerOfHate"
"tr03951","Underside Ride"
"tr03952","Ungrateful Bastard"
"tr03953","What Beautiful Eyes!"
"tr03954","YourPrincessIsInAnotherCastle"
"tr03955","Auction of Evil"
"tr03956","Costume Drama"
"tr03957","Orphan's Plot Trinket"
"tr03958","Afraid of Blood"
"tr03959","Arcadia"
"tr03960","Attractive Bent-Gender"
"tr03961","Badass Boast"
"tr03962","Comic Role Play"
"tr03963","Easy Evangelism"
"tr03964","Four Terms Fallacy"
"tr03965","Get Thee to a Nunnery"
"tr03966","Ghibli Hills"
"tr03967","HeelFaith Turn"
"tr03968","I Know You Know I Know"
"tr03969","I'll Kill You!"
"tr03970","Men Don't Cry"
"tr03971","Misplaced Vegetation"
"tr03972","Nature Lover"
"tr03973","Nice, Mean, and In-Between"
"tr03974","Old Retainer"
"tr03975","Painful Rhyme"
"tr03976","Person as Verb"
"tr03977","Recursive Crossdressing"
"tr03978","SelfDeprecation"
"tr03979","Shotgun Wedding"
"tr03980","Start My Own"
"tr03981","Sweet on Polly Oliver"
"tr03982","Tsundere"
"tr03983","TurnToReligion"
"tr03984","Uke"
"tr03985","Your Mom"
"tr03986","Ma'am Shock"
"tr03987","Maiden Aunt"
"tr03988","Adaptation Decay"
"tr03989","Banister Slide"
"tr03990","Dawn of an Era"
"tr03991","Everybody Cries"
"tr03992","Minstrel Shows"
"tr03993","Sticky Fingers"
"tr03994","Street Musician"
"tr03995","The Smurfette Principle"
"tr03996","Aborted Arc"
"tr03997","Arrested for Heroism"
"tr03998","Bedlam House"
"tr03999","Can't Tie His Tie"
"tr04000","CobwebsOfDisuse"
"tr04001","Dhampir"
"tr04002","Dhampyr"
"tr04003","I Do Not Drink Wine"
"tr04004","Immortality Immorality"
"tr04005","Lonely Funeral"
"tr04006","ModelScam"
"tr04007","Mysterious Veil"
"tr04008","Prank Call"
"tr04009","Servile Snarker"
"tr04010","Vampire Vannabe"
"tr04011","Villain Has a Point"
"tr04012","Wolves Always Howl at the Moon"
"tr04013","Defictionalization"
"tr04014","Erotic Film"
"tr04015","Glasses Pull"
"tr04016","ObsessivelyOrganized"
"tr04017","Battering Ram"
"tr04018","Convicted by Public Opinion"
"tr04019","Dangerously Close Shave"
"tr04020","Empty Shell"
"tr04021","Exploited"
"tr04022","Guilt by Coincidence"
"tr04023","Hearing Voices"
"tr04024","It's Quiet... Too Quiet"
"tr04025","Law Procedural"
"tr04026","Memento MacGuffin"
"tr04027","Moral Luck"
"tr04028","One Phone Call"
"tr04029","Only Bad Guys Call Their Lawyers"
"tr04030","RepeatedForEmphasis"
"tr04031","Revenge"
"tr04032","Spinning Clock Hands"
"tr04033","Stealth Hi/Bye"
"tr04034","This Is a Work of Fiction"
"tr04035","Those Wacky Nazis"
"tr04036","Two Scenes, One Dialogue"
"tr04037","No Longer with Us"
"tr04038","Fluffy Cloud Heaven"
"tr04039","God"
"tr04040","Heaven"
"tr04041","Noah's Story Arc"
"tr04042","Old Beggar Test"
"tr04043","The Ark"
"tr04044","The Descendants of Cain"
"tr04045","The Great Flood"
"tr04046","You Look Familiar"
"tr04047","Aww, Look! They Really Do Love Each Other"
"tr04048","Becoming the Boast"
"tr04049","Breach of Promise of Marriage"
"tr04050","Commitment Issues"
"tr04051","Ethnic Menial Labor"
"tr04052","FakeDangerGambit"
"tr04053","Man Bites Man"
"tr04054","Media Scrum"
"tr04055","Otaku"
"tr04056","Reverse Psychology"
"tr04057","Rod-and-Reel Repurposed"
"tr04058","Romantic FakeReal Turn"
"tr04059","RunawayGroom"
"tr04060","ShamMarriage"
"tr04061","Slapstick"
"tr04062","Abuse Mistake"
"tr04063","CantSpitItOut"
"tr04064","Enormous Engagement Ring"
"tr04065","MakesSenseInContext"
"tr04066","No Means Yes"
"tr04067","NonIndicativeTitle"
"tr04068","Pride"
"tr04069","Rejection Affection"
"tr04070","Removing the Rival"
"tr04071","Absurdly Dedicated Worker"
"tr04072","Accidental Hero"
"tr04073","As Long as It Sounds Foreign"
"tr04074","Assembly Line Fast-Forward"
"tr04075","Barefoot Poverty"
"tr04076","Bawdy Song"
"tr04077","Big Brother Is Watching"
"tr04078","Bindle Stick"
"tr04079","Clockworks Area"
"tr04080","Crouching Moron, Hidden Badass"
"tr04081","Disastrous Demonstration"
"tr04082","Ground by Gears"
"tr04083","Mistaken for Terrorist"
"tr04084","Mocking Music"
"tr04085","Older Than Television"
"tr04086","Power-Up Food"
"tr04087","Ray of Hope Ending"
"tr04088","Real Men Wear Pink"
"tr04089","Retraux"
"tr04090","Rube Goldberg Device"
"tr04091","The Alleged House"
"tr04092","The Pollyanna"
"tr04093","The Tetris Effect"
"tr04094","Typewriter Eating"
"tr04095","What Happened to the Mouse?"
"tr04096","With Lyrics"
"tr04097","Yank the Dog's Chain"
"tr04098","A Fool for a Client"
"tr04099","Alcohol-Induced Idiocy"
"tr04100","ArtisticLiscense"
"tr04101","Attention Deficit... Ooh, Shiny!"
"tr04102","Distinction Without a Difference"
"tr04103","EvilVersusEvil"
"tr04104","First Kiss"
"tr04105","Heroes Love Dogs"
"tr04106","If Only You Knew"
"tr04107","Incoming Ham"
"tr04108","Nice Job Fixing It, Villain!"
"tr04109","Oblivious Guilt Slinging"
"tr04110","Passed-Over Inheritance"
"tr04111","Plot-Triggering Death"
"tr04112","Rescue Romance"
"tr04113","Science Marches On"
"tr04114","Sour Supporter"
"tr04115","Unexpected Inheritance"
"tr04116","WrongfullyCommitted"
"tr04117","BribingTheHomeless"
"tr04118","Brutal Honesty"
"tr04119","Clueless Chick Magnet"
"tr04120","Did You Get a New Haircut?"
"tr04121","FakeFaint"
"tr04122","Gave Up Too Soon"
"tr04123","Heartbroken Badass"
"tr04124","Looped Lyrics"
"tr04125","Modeling Poses"
"tr04126","NiceGirl"
"tr04127","Riches to Rags"
"tr04128","Scavenger Hunt"
"tr04129","Spoiled Sweet"
"tr04130","Surrounded by Idiots"
"tr04131","Advice Backfire"
"tr04132","All There in the Script"
"tr04133","Altar Diplomacy"
"tr04134","Amazingly Embarrassing Parents"
"tr04135","Apothecary Alligator"
"tr04136","Applicability"
"tr04137","ArtisticLicenceAnatomy"
"tr04138","Attack! Attack... Retreat! Retreat!"
"tr04139","BalconyWooingScene"
"tr04140","Barefoot Sage"
"tr04141","Big NO!"
"tr04142","Black Comedy Rape"
"tr04143","Blasphemous Praise"
"tr04144","Boy Meets Girl"
"tr04145","Bromantic Foil"
"tr04146","Cargo Envy"
"tr04147","Cats Have Nine Lives"
"tr04148","Conflicting Loyalty"
"tr04149","Cosmic Plaything"
"tr04150","Courtly Love"
"tr04151","Crazy Enough to Work"
"tr04152","Death Is Dramatic"
"tr04153","Did They or Didn't They?"
"tr04154","DiedInIgnorance"
"tr04155","Drama Queen"
"tr04156","DramaticallyDelayedDrug"
"tr04157","Dying Curse"
"tr04158","EnemyBecomesFamily"
"tr04159","Enter Stage Window"
"tr04160","Excessive Mourning"
"tr04161","Faux Death"
"tr04162","Feuding Families"
"tr04163","FisticuffProvokingComment"
"tr04164","Forced Sleep"
"tr04165","Garden of Love"
"tr04166","Gendered Insult"
"tr04167","GenreBusting"
"tr04168","Gone Horribly Right"
"tr04169","Gut Punch"
"tr04170","Hanlon's Razor"
"tr04171","Hufflepuff House"
"tr04172","Ignored Confession"
"tr04173","Impeded Messenger"
"tr04174","In Love with Love"
"tr04175","Inspiration Nod"
"tr04176","Know When to Fold 'Em"
"tr04177","Let Me at Him!"
"tr04178","Lost Aesop"
"tr04179","Maid and Maiden"
"tr04180","Mandatory Motherhood"
"tr04181","Masculine Girl, Feminine Boy"
"tr04182","Master Swordsman"
"tr04183","Matron Chaperone"
"tr04184","MatureWorkChildProtagonists"
"tr04185","MemorialStatue"
"tr04186","Misaimed Fandom"
"tr04187","MistakenDeathConfirmation"
"tr04188","NotDeadJustAsleep"
"tr04189","Pop-Cultural Osmosis"
"tr04190","Prince Charmless"
"tr04191","Roaring Rampage of Romance"
"tr04192","Sacrificial Lion"
"tr04193","Screw the Rules, I'm Doing What's Right!"
"tr04194","Secret Keeper"
"tr04195","Secret Relationship"
"tr04196","SentencedWithoutTrial"
"tr04197","Small Reference Pools"
"tr04198","Snicket Warning Label"
"tr04199","Spaghetti Western"
"tr04200","Tag Team Suicide"
"tr04201","The Cassandra"
"tr04202","The Fighting Narcissist"
"tr04203","The Friends Who Never Hang"
"tr04204","The Reliable One"
"tr04205","The World's Expert on Getting Killed"
"tr04206","They Died Because of You"
"tr04207","13 Is Unlucky"
"tr04208","Threatening Mediator"
"tr04209","Tragic Mistake"
"tr04210","Tragicomedy"
"tr04211","Trauma Conga Line"
"tr04212","Unknown Rival"
"tr04213","VulvalFlora"
"tr04214","WeddingDeathJuxtaposition"
"tr04215","Work Info Title"
"tr04216","Young Love Versus Old Hate"
"tr04217","Disaster Movie"
"tr04218","Fruit Cart"
"tr04219","Melismatic Vocals"
"tr04220","RealTragedyFictionalVictim"
"tr04221","StrawAtheist"
"tr04222","BSoD Song"
"tr04223","BizarreGamblingWinnings"
"tr04224","Break-Up/Make-Up Scenario"
"tr04225","Break-Up Song"
"tr04226","Counterpoint Duet"
"tr04227","Covered in Kisses"
"tr04228","Creepy Changing Painting"
"tr04229","Cue the Sun"
"tr04230","ElevenOClockNumber"
"tr04231","Empathy Pet"
"tr04232","Engagement Challenge"
"tr04233","Good Luck Charm"
"tr04234","Kissing Discretion Shot"
"tr04235","Living Shadow"
"tr04236","MoodKiller"
"tr04237","On the Rebound"
"tr04238","Professional Gambler"
"tr04239","Quarreling Song"
"tr04240","Snow Means Love"
"tr04241","This Looks Like a Job for Aquaman"
"tr04242","Comedy of Remarriage"
"tr04243","Mystery Magnet"
"tr04244","Mystery Writer Detective"
"tr04245","The Corpse Stops Here"
"tr04246","AscendToAHigherPlaneOfExistence"
"tr04247","Barred from the Afterlife"
"tr04248","Dead Person Conversation"
"tr04249","Friendly Ghost"
"tr04250","Ghostly Goals"
"tr04251","Horror Comedy"
"tr04252","Intangibility"
"tr04253","Intangible Time Travel"
"tr04254","Jacob Marley Apparel"
"tr04255","Man in a Kilt"
"tr04256","Pretty Fly for a White Guy"
"tr04257","Unfinished Business"
"tr04258","Adaptational Modesty"
"tr04259","Autobiographical Role"
"tr04260","Friendly Rivalry"
"tr04261","No Doubt the Years Have Changed Me"
"tr04262","The Barnum"
"tr04263","The Centerpiece Spectacular"
"tr04264","Chronoscope"
"tr04265","Eye Remember"
"tr04266","Magic Meteor"
"tr04267","No Body Left Behind"
"tr04268","Poisonous Person"
"tr04269","Unobtainium"
"tr04270","A Good Way to Die"
"tr04271","Death Seeker"
"tr04272","Equal-Opportunity Evil"
"tr04273","LoveMakesYouStupid"
"tr04274","LoveRealization"
"tr04275","Monster Fangirl"
"tr04276","See You in Hell"
"tr04277","Sympathy for the Devil"
"tr04278","The Drag-Along"
"tr04279","Worth Living For"
"tr04280","All of the Other Reindeer"
"tr04281","I'm a Doctor, Not a Placeholder"
"tr04282","Professor Guinea Pig"
"tr04283","All Women Are Prudes"
"tr04284","CantHoldHerLiquor"
"tr04285","Going for the Big Scoop"
"tr04286","HypocriticalHumour"
"tr04287","Living a Double Life"
"tr04288","Noblewoman's Laugh"
"tr04289","Pen Name"
"tr04290","Playing with a Trope"
"tr04291","PlayedWith"
"tr04292","Adam and Eve Plot"
"tr04293","After the End"
"tr04294","Apocalyptic Montage"
"tr04295","AstralFinale"
"tr04296","Bold Explorer"
"tr04297","Deadly Gas"
"tr04298","Failed Future Forecast"
"tr04299","Forever War"
"tr04300","GallowsHumour"
"tr04301","Huge Holographic Head"
"tr04302","Human Cannonball"
"tr04303","Lost Technology"
"tr04304","Montages"
"tr04305","NotCompensatingForAnything"
"tr04306","OneSidedBattle"
"tr04307","Patrick Stewart Speech"
"tr04308","Putting on the Reich"
"tr04309","Quarantine with Extreme Prejudice"
"tr04310","Ridiculous Future Inflation"
"tr04311","Scavenger World"
"tr04312","SmallTownTyrant"
"tr04313","The Philosopher King"
"tr04314","The Plague"
"tr04315","Weapon of Peace"
"tr04316","WouldNotHurtAChild"
"tr04317","Zombie Gait"
"tr04318","Parent with New Paramour"
"tr04319","Quitting to Get Married"
"tr04320","There Are Two Kinds of People in the World"
"tr04321","Versus Title"
"tr04322","Workaholic"
"tr04323","Covered in Mud"
"tr04324","Doctor, Doctor, Doctor"
"tr04325","Fake Static"
"tr04326","Have You Told Anyone Else?"
"tr04327","Induced Hypochondria"
"tr04328","Lopsided Dichotomy"
"tr04329","M.D. Envy"
"tr04330","Non-Verbal Miscommunication"
"tr04331","One-Liner"
"tr04332","Parlor Games"
"tr04333","Real Joke Name"
"tr04334","Father Neptune"
"tr04335","Get a Hold of Yourself, Man!"
"tr04336","Manly Men Can Hunt"
"tr04337","My Girl Back Home"
"tr04338","Railroad Baron"
"tr04339","The Cabin Boy"
"tr04340","Trauma-Induced Amnesia"
"tr04341","Action Girl"
"tr04342","Action Survivor"
"tr04343","Bad-Guy Bar"
"tr04344","Dirty Old Man"
"tr04345","Even the Girls Want Her"
"tr04346","FamilyFriendlyStripper"
"tr04347","Fighting Irish"
"tr04348","Goldfish Poop Gang"
"tr04349","Heroic Seductress"
"tr04350","HumanTrafficking"
"tr04351","Last Minute Hookup"
"tr04352","Politically Incorrect Villain"
"tr04353","RacialFaceBlindness"
"tr04354","Red Baron"
"tr04355","Teasing from Behind the Language Barrier"
"tr04356","Terrible Trio"
"tr04357","Token Good Teammate"
"tr04358","Undercover Model"
"tr04359","You Killed My Father"
"tr04360","Delinquents"
"tr04361","Magic Plastic Surgery"
"tr04362","Princely Young Man"
"tr04363","Visual Title Drop"
"tr04364","You Can't Go Home Again"
"tr04365","Age-Gap Romance"
"tr04366","Anachronic Order"
"tr04367","Anti-Hero"
"tr04368","ArtisticLicenceReligion"
"tr04369","Backstory"
"tr04370","Badass Bookworm"
"tr04371","Badass Preacher"
"tr04372","Black and White Morality"
"tr04373","Characterization Marches On"
"tr04374","Code Name"
"tr04375","Comforting the Widow"
"tr04376","Cool Horse"
"tr04377","Costume Copycat"
"tr04378","Creepy Child"
"tr04379","CreepyCrawlyTorture"
"tr04380","Hot for Preacher"
"tr04381","Identity Impersonator"
"tr04382","Impaled with Extreme Prejudice"
"tr04383","Impossible Task"
"tr04384","Inspector Javert"
"tr04385","Intercontinuity Crossover"
"tr04386","Jack the Ripoff"
"tr04387","Mini Series"
"tr04388","My Local"
"tr04389","Pirate Song"
"tr04390","Profane Last Words"
"tr04391","Proto-Superhero"
"tr04392","Psycho Sidekick"
"tr04393","Recruiting the Criminal"
"tr04394","Released to Elsewhere"
"tr04395","Sailor's Ponytail"
"tr04396","Scarecrow Solution"
"tr04397","Scary Scarecrows"
"tr04398","Secret Identity"
